IATA_CODE,AIRLINE
UA,UnitedAirLinesInc.
AA,AmericanAirlinesInc.
F9,FrontierAirlinesInc.
B6,JetBlueAirways
AS,AlaskaAirlinesInc.
NK,SpiritAirLines
WN,SouthwestAirlinesCo.
DL,DeltaAirLinesInc.
HA,HawaiianAirlinesInc.
